iter	Logloss
133	0.4321116758
134	0.4314968666
135	0.431086851
136	0.4307721599
137	0.4301660945
138	0.4298280009
139	0.4294566465
140	0.4293032871
141	0.4288561532
142	0.4284655967
143	0.4279925743
144	0.4275895451
145	0.427228349
146	0.427007868
147	0.4267309382
148	0.4263757856
149	0.4261306591
150	0.4252826819
151	0.4246172101
152	0.4243641971
153	0.4239790841
154	0.423321156
155	0.4227302637
156	0.4221845048
157	0.4219232195
158	0.4215710243
159	0.4214112357
160	0.4208906367
161	0.4205557577
162	0.4200754916
163	0.4196403161
164	0.4192303433
165	0.4188869348
166	0.4186066188
167	0.4183877666
168	0.4178645959
169	0.4173851442
170	0.4169751285
171	0.4167097713
172	0.4163355452
173	0.4162360202
174	0.4160373131
175	0.4156233112
176	0.4150360622
177	0.4146635077
178	0.4142607785
179	0.4140374687
180	0.4136942746
181	0.413395228
182	0.4130377609
183	0.4127384572
184	0.4124484973
185	0.4120795432
186	0.4119096392
187	0.4114256012
188	0.4111444709
189	0.4108930009
190	0.4106238719
191	0.410166494
192	0.4098495741
193	0.4095185955
194	0.4093701652
195	0.4091610426
196	0.4086318284
197	0.4083880307
198	0.4080324923
199	0.4079848729
200	0.4076385498
201	0.4073341884
202	0.4073009277
203	0.4071646701
204	0.4067948159
205	0.4066711597
206	0.40644875
207	0.4060742668
208	0.4057507461
209	0.4054151385
210	0.404981206
211	0.4048166168
212	0.404429575
213	0.4042477983
214	0.4039875845
215	0.403887288
216	0.4035727254
217	0.4033056538
218	0.4031200623
219	0.4029556017
220	0.4025630308
221	0.4021917193
222	0.4019657092
223	0.4017926334
224	0.4015364915
225	0.4012163569
226	0.400950614
227	0.4007531498
228	0.4004804204
229	0.4004370014
230	0.4002063194
231	0.3998593963
232	0.3997960466
233	0.3996596176
234	0.399511273
235	0.3992772477
236	0.3992261565
237	0.3991067865
238	0.3988671892
239	0.3986311923
240	0.3985061646
241	0.3982485225
242	0.3981853014
243	0.3978377353
244	0.3975946662
245	0.3974238621
246	0.3972706313
247	0.3972230118
248	0.3968709881
249	0.3968595012
250	0.3965768707
251	0.3963529608
252	0.39602764
253	0.395839434
254	0.3956832029
255	0.3953711263
256	0.3951321291
257	0.3949400655
258	0.3947344148
259	0.3945789123
260	0.3944163376
261	0.3941654677
262	0.3939072255
263	0.393680101
264	0.3934362176
265	0.3932259806
266	0.3931829045
267	0.3930864656
268	0.3927898193
269	0.3927260838
270	0.3925652236
271	0.3924656557
272	0.392455969
273	0.3922544329
274	0.3920719704
275	0.3919398276
276	0.3918481034
277	0.3915893898
278	0.391491322
279	0.3912203499
280	0.3911161101
281	0.3910058697
282	0.3909138026
283	0.3907357977
284	0.3905816668
285	0.3902900782
286	0.3902244996
287	0.3900698544
288	0.3899913316
289	0.3896865845
290	0.3896017182
291	0.3893465192
292	0.3892216629
293	0.3890539448
294	0.3888091184
295	0.388661331
296	0.388433735
297	0.3883538836
298	0.3882146257
299	0.3881913946
300	0.388117158
301	0.387801524
302	0.3875305519
303	0.3873248154
304	0.3872462069
305	0.3871628836
306	0.3869032699
307	0.3868169463
308	0.3866746452
309	0.3865471743
310	0.3865289152
311	0.3863509532
312	0.3863255361
313	0.386243713
314	0.3861821207
315	0.3860654938
316	0.3859301792
317	0.3857210138
318	0.3857162133
319	0.3856345187
320	0.3855427946
321	0.3854552708
322	0.3852762801
323	0.3852317896
324	0.3850404975
325	0.3849661323
326	0.3847043327
327	0.384667643
328	0.3845652034
329	0.3845611744
330	0.3845092259
331	0.3843083757
332	0.3842171658
333	0.3841840337
334	0.3839242485
335	0.3837990064
336	0.3835568374
337	0.3835158187
338	0.38336876
339	0.3832498615
340	0.3830454108
341	0.3828278445
342	0.3826711419
343	0.3825555866
344	0.3825147822
345	0.3824225436
346	0.382419029
347	0.3822192931
348	0.3819813246
349	0.3817575433
350	0.3815383054
351	0.3813838744
352	0.3812571322
353	0.3812042836
354	0.3808833776
355	0.3808680759
356	0.3807683366
357	0.3805400548
358	0.380396125
359	0.3802733689
360	0.3801289248
361	0.3799879096
362	0.3798821267
363	0.3796889916
364	0.3796406435
365	0.3795439045
366	0.3794943992
367	0.379327624
368	0.3792797903
369	0.3791959098
370	0.3791120722
371	0.3788883338
372	0.3787960095
373	0.3786597091
374	0.3785130361
375	0.3784064818
376	0.3782363206
377	0.3780872474
378	0.3780751603
379	0.3780427568
380	0.3779325592
381	0.3778347058
382	0.3776854612
383	0.3775117853
384	0.3774466782
385	0.377368927
386	0.3773429956
387	0.3772413275
388	0.3772267974
389	0.3771371734
390	0.3769656406
391	0.3769609258
392	0.3768121098
393	0.3767353015
394	0.3766218035
395	0.3765062911
396	0.3763451737
397	0.3763034263
398	0.3761774127
399	0.3760410266
400	0.3759882209
401	0.3757749407
402	0.3757361508
403	0.3756647431
404	0.3755317431
405	0.3754115587
406	0.3752782586
407	0.3751790765
408	0.3750934815
409	0.3748320676
410	0.3746871091
411	0.3745864697
412	0.3744947884
413	0.3743364141
414	0.3742170012
415	0.374208086
416	0.3741013602
417	0.3739668171
418	0.3739609879
419	0.3738168438
420	0.3738122147
421	0.3736609984
422	0.3735539726
423	0.3734675632
424	0.3734044279
425	0.3732450678
426	0.373034788
427	0.3729893545
428	0.3729639375
429	0.3729552365
430	0.3729202613
431	0.3729138321
432	0.372869213
433	0.3728131926
434	0.37268315
435	0.3723939617
436	0.3723126958
437	0.3722837641
438	0.3722426168
439	0.3720625117
440	0.3720371375
441	0.3719263398
442	0.3717968116
443	0.3716753413
444	0.3716262646
445	0.3715912894
446	0.3714377585
447	0.37143793
448	0.3714030405
449	0.3713177885
450	0.3711719299
451	0.3710389727
452	0.3709700081
453	0.370814377
454	0.3706487163
455	0.3705437478
456	0.3705301178
457	0.3704992573
458	0.3704916708
459	0.3702985785
460	0.3702918492
461	0.3702055685
462	0.369990531
463	0.3699614278
464	0.3698901487
465	0.3697636208
466	0.3696896414
467	0.3695394966
468	0.3694866052
469	0.3693022996
470	0.3691987456
471	0.3691409679
472	0.3691301667
473	0.3690401999
474	0.3689408034
475	0.3688997419
476	0.3688608234
477	0.3687933161
478	0.3686679454
479	0.3686162113
480	0.3685379457
481	0.3684661522
482	0.36844575
483	0.3683926014
484	0.3682617445
485	0.3681128427
486	0.3680484643
487	0.3678885471
488	0.3676289333
489	0.3675091347
490	0.3673358017
491	0.3672318619
492	0.367118664
493	0.3669932933
494	0.3669417306
495	0.3668630793
496	0.3666618004
497	0.3665816061
498	0.3664577784
499	0.3662887745
500	0.3662489987
501	0.3661352865
502	0.3660460911
503	0.3659533383
504	0.3658204668
505	0.3656451622
506	0.3656031576
507	0.365548466
508	0.365442426
509	0.3653557167
510	0.3651887701
511	0.3651580811
512	0.3651331355
513	0.3650623279
514	0.3650280385
515	0.364997178
516	0.3649240129
517	0.3648299314
518	0.3647474653
519	0.3646403109
520	0.3644866515
521	0.3644135293
522	0.3642878157
523	0.3642495402
524	0.3641122111
525	0.3640538334
526	0.3638918587
527	0.3637236263
528	0.363661391
529	0.3635781535
530	0.3635317342
531	0.3635188756
532	0.3634921299
533	0.363486215
534	0.36336033
535	0.3632209864
536	0.3631485928
537	0.363116618
538	0.3630996018
539	0.3629520288
540	0.3629143533
541	0.3628695627
542	0.3628644622
543	0.3627943832
544	0.3627331337
545	0.3626481817
546	0.3626399951
547	0.3625037375
548	0.3623740807
549	0.3623220894
550	0.3622002762
551	0.3620858353
552	0.3620533032
553	0.3619505636
554	0.3619055587
555	0.3618028619
556	0.3616731622
557	0.3616470165
558	0.3615274322
559	0.3614281644
560	0.3612934927
561	0.361133104
562	0.3610977859
563	0.3610971858
564	0.3610811555
565	0.3609395402
566	0.3608565598
567	0.3607398901
568	0.3606671966
569	0.360644737
570	0.3605606422
571	0.3604780047
572	0.3603518197
573	0.3603217307
574	0.3602327497
575	0.360231421
576	0.360078533
577	0.3599490048
578	0.3599079003
579	0.3598263344
580	0.3596736608
581	0.3596281845
582	0.359557634
583	0.3593645846
584	0.3592090392
585	0.3590947269
586	0.3589959091
587	0.3589677918
588	0.3588892905
589	0.3585959445
590	0.3585523755
591	0.3582864611
592	0.3581832714
593	0.3581438815
594	0.3580858252
595	0.358046971
596	0.357836134
597	0.3577957582
598	0.357629326
599	0.3574966688
600	0.3573852925
601	0.3573030622
602	0.3572362621
603	0.3571388159
604	0.3570371049
605	0.3569143917
606	0.3567629182
607	0.3565267499
608	0.3564450125
609	0.3562243387
610	0.3560444907
611	0.3559151124
612	0.3558545916
613	0.3557475015
614	0.3556562274
615	0.355589363
616	0.3555398362
617	0.3555331712
618	0.3554064933
619	0.3553503015
620	0.3553421578
621	0.3553279705
622	0.3552746291
623	0.3551762613
624	0.355156652
625	0.3550069573
626	0.3549358068
627	0.3548116362
628	0.3547104825
629	0.3546537764
630	0.354602428
631	0.3544755357
632	0.3543998418
633	0.3543620592
634	0.3542537046
635	0.3541735103
636	0.354145543
637	0.354046768
638	0.3540206009
639	0.3538859078
640	0.3537847969
641	0.3536612264
642	0.3534710916
643	0.353351593
644	0.3532518751
645	0.3532023698
646	0.3531649515
647	0.3531537002
648	0.3531213396
649	0.3529958404
650	0.3529718592
651	0.3529515641
652	0.3528401021
653	0.3527269685
654	0.3525415485
655	0.3524435022
656	0.3523705086
657	0.3522871853
658	0.3521504777
659	0.352048831
660	0.3520278931
661	0.3518965218
662	0.3517814379
663	0.351685899
664	0.3515472626
665	0.3514321145
666	0.3513709936
667	0.3512979143
668	0.3512765049
669	0.3511488839
670	0.3510471087
671	0.3509585777
672	0.3509361396
673	0.3507990676
674	0.3506641388
675	0.3505992675
676	0.3505793582
677	0.3505191803
678	0.3505161157
679	0.3504952634
680	0.3503694213
681	0.3503323244
682	0.3502421433
683	0.3501332958
684	0.3500659385
685	0.3499585698
686	0.3498964417
687	0.3496873834
688	0.3496458075
689	0.3495032064
690	0.349411868
691	0.3493161148
692	0.3492172327
693	0.3490954624
694	0.3489891652
695	0.3489398313
696	0.348846607
697	0.3487973588
698	0.348686454
699	0.3486798319
700	0.34859623
701	0.3484517215
702	0.3484246115
703	0.3482546003
704	0.3481641191
705	0.3480663514
706	0.3479497245
707	0.3478795598
708	0.3478616864
709	0.3477572323
710	0.3477274863
711	0.3477042123
712	0.3475780273
713	0.3475211497
714	0.3474265538
715	0.3473612325
716	0.3472747588
717	0.3472156739
718	0.347182456
719	0.3471341937
720	0.3470632146
721	0.347026332
722	0.3468959251
723	0.3466444551
724	0.3465706472
725	0.3465532453
726	0.3465062688
727	0.3464693219
728	0.3463622747
729	0.3462566419
730	0.3461302639
731	0.3461172983
732	0.3459122047
733	0.3459078328
734	0.3457316709
735	0.3456925596
736	0.3455496156
737	0.3454929738
738	0.3453959776
739	0.3453321135
740	0.3453201551
741	0.3452152509
742	0.3451964346
743	0.3451128327
744	0.3450726284
745	0.3450435467
746	0.3449780539
747	0.3447621806
748	0.3446965593
749	0.3446230942
750	0.344607964
751	0.3445070674
752	0.3443909549
753	0.344318047
754	0.3442873794
755	0.3442007129
756	0.3441348129
757	0.3440992591
758	0.3439729241
759	0.3438908009
760	0.3438345663
761	0.3436687341
762	0.34356443
763	0.3434645406
764	0.3433373698
765	0.3431790384
766	0.3431228895
767	0.3430318082
768	0.3429871034
769	0.3428527318
770	0.3428016405
771	0.3427234392
772	0.3426037049
773	0.3425976614
774	0.342546613
775	0.342431272
776	0.3424034547
777	0.3423055156
778	0.3421002077
779	0.3420417871
780	0.3419426479
781	0.3419244745
782	0.3418084477
783	0.3416746761
784	0.341543562
785	0.3415121229
786	0.3414625104
787	0.3413946173
788	0.3413319534
789	0.3413191377
790	0.341222463
791	0.3411745221
792	0.3410326068
793	0.3409065504
794	0.3408658317
795	0.340684955
796	0.3406695462
797	0.3405162083
798	0.3404117756
799	0.3403447183
800	0.3402265484
801	0.3401329812
802	0.3400698244
803	0.3399750356
804	0.3399162721
805	0.339806246
806	0.3397080925
807	0.3396271695
808	0.3395219224
809	0.3394066886
810	0.3393123284
811	0.3392056669
812	0.3391229222
813	0.3390353556
814	0.3389367521
815	0.3387959727
816	0.3385592471
817	0.3384618009
818	0.3383779633
819	0.3382867749
820	0.3381494243
821	0.3379484455
822	0.3378773807
823	0.3377666473
824	0.337723807
825	0.3376610574
826	0.3375232139
827	0.337466765
828	0.3374114304
829	0.3373254069
830	0.3373179918
831	0.3372786233
832	0.3372236959
833	0.3371916782
834	0.337139944
835	0.3370452409
836	0.3368812732
837	0.3367855201
838	0.3367364862
839	0.3366572777
840	0.3366232883
841	0.336517634
842	0.3363906989
843	0.3362806299
844	0.3362113438
845	0.3361419721
846	0.3360817084
847	0.335997335
848	0.3359537446
849	0.3358414039
850	0.3357207695
851	0.335577504
852	0.3354835725
853	0.3353209335
854	0.3351908909
855	0.3351795325
856	0.3350542476
857	0.3348924658
858	0.3347965626
859	0.3347249835
860	0.3345504075
861	0.3344463177
862	0.3343416278
863	0.3342428529
864	0.3342313874
865	0.3341168393
866	0.3339692877
867	0.3338905935
868	0.3338058557
869	0.333705302
870	0.3336393592
871	0.3335086951
872	0.3334159422
873	0.3333278185
874	0.3331860317
875	0.33309075
876	0.3329469274
877	0.3328876495
878	0.3326460592
879	0.3325288323
880	0.3324940499
881	0.33240209
882	0.3322634536
883	0.3321629642
884	0.3319174306
885	0.3318178413
886	0.3317497339
887	0.3316904561
888	0.3316310711
889	0.3315541128
890	0.3314220128
891	0.3313408969
892	0.331314987
893	0.3310899413
894	0.3310265273
895	0.3308967633
896	0.3307099932
897	0.3306700031
898	0.3305609414
899	0.330465231
900	0.3303519688
901	0.330275482
902	0.3300837828
903	0.3299996022
904	0.3299164933
905	0.329854558
906	0.3297721991
907	0.329678139
908	0.3295802641
909	0.3294612156
910	0.3294021949
911	0.3293449959
912	0.3293081562
913	0.3292165178
914	0.3290639727
915	0.3289266008
916	0.3288579576
917	0.328723436
918	0.3286428559
919	0.3285746628
920	0.3284733376
921	0.3283888142
922	0.3283076769
923	0.3281874067
924	0.3280858672
925	0.3280168383
926	0.3279627468
927	0.3278461628
928	0.3277117268
929	0.3275814485
930	0.3274808091
931	0.3273937783
932	0.3272956248
933	0.3270736651
934	0.326982391
935	0.3268821159
936	0.3267368574
937	0.3265910417
938	0.3263725538
939	0.3262891448
940	0.3262259237
941	0.3261615882
942	0.3261013674
943	0.3259924985
944	0.3259112326
945	0.3257472435
946	0.3256811935
947	0.3255571944
948	0.3254336454
949	0.3253674025
950	0.3251802895
951	0.325122276
952	0.325051747
953	0.3248744065
954	0.3247864541
955	0.3244409454
956	0.3244054773
957	0.3243088454
958	0.3242045842
959	0.3241054235
960	0.3240173426
961	0.3239191462
962	0.3238464098
963	0.3238025408
964	0.323751021
965	0.3236569608
966	0.3235206175
967	0.3233972185
968	0.3233174528
969	0.3231431554
970	0.322979702
971	0.3229076943
972	0.3228167845
973	0.3226895922
974	0.3225981895
975	0.3224996502
976	0.3224577957
977	0.3223901599
978	0.3221943459
979	0.3220931492
980	0.3219996677
981	0.3219568274
982	0.3219009357
983	0.3218230773
984	0.3217120653
985	0.321647194
986	0.321527181
987	0.3215195731
988	0.3214388215
989	0.3213024997
990	0.3211899447
991	0.321072782
992	0.3210281201
993	0.3209122433
994	0.3207837651
995	0.320661159
996	0.3206068746
997	0.3205644415
998	0.3204371849
999	0.3203714564
